target_intended_observed,model,subset,f1_score
observed,deepaffect,male,0.19192047377326563
observed,deepaffect,female,0.21971420351504506
observed,deepaffect,cauc,0.20734979889391653
observed,deepaffect,non-cauc,0.20227461117291623
intended,deepaffect,male,0.10428774651654792
intended,deepaffect,female,0.10654395254733859
intended,deepaffect,cauc,0.11090771378941247
intended,deepaffect,non-cauc,0.09788226031420226
observed,empath,male,0.24077380952380953
observed,empath,female,0.18827895368843645
observed,empath,cauc,0.216537226426076
observed,empath,non-cauc,0.21230291447682753
intended,empath,male,0.14494906133549618
intended,empath,female,0.10236963032395235
intended,empath,cauc,0.11355448052236461
intended,empath,non-cauc,0.1507679183321778
observed,vokaturi,male,0.25041990231453176
observed,vokaturi,female,0.1640631480637127
observed,vokaturi,cauc,0.21530423483890224
observed,vokaturi,non-cauc,0.2460811792204293
intended,vokaturi,male,0.28371571550874264
intended,vokaturi,female,0.19458874458874456
intended,vokaturi,cauc,0.25298196020155694
intended,vokaturi,non-cauc,0.2868559459236968
